80069ff0: 0000c10c 0000c152 0000c0a2 0000c3a8
8006a000: 0000c182 0000c2e8 0000c362 0000c2b8
8006a010: 0000c1cc 0000c19e 0000c1f0 0000c192
8006a020: 0000c320 0000c262 0000c362 0000c1a0
8006a030: 0000c31c 0000c172 0000c174 0000c32a
8006a040: 0000c1a0 0000c2c2 0000c27c 0000c1b0
8006a050: 0000c168 0000c358 0000c192 0000c14c
8006a060: 0000c182 0000c190 0000c2e6 0000c218
8006a070: 0000c1a6 0000c164 0000c1b4 0000c0d8
8006a080: 0000c196 0000c182 0000c324 0000c2ea
8006a090: 0000c188 0000c1ae 0000c1a4 0000c166
8006a0a0: 0000c298 0000c302 0000c196 0000c182
8006a0b0: 0000c1b4 0000c1ae 0000c196 0000c1a0
8006a0c0: 0000c162 0000c0be 0000c196 0000c1ae
8006a0d0: 0000c17a 0000c330 0000c1d0 0000c192
8006a0e0: 0000c2b6 0000c182 0000c1a4 0000c182
8006a0f0: 0000c2aa 0000c352 0000c1b0 0000c190
8006a100: 0000c2e6 0000c2d8 0000c1a4 0000c182
8006a110: 0000c356 0000c186 0000c178 0000c302
8006a120: 0000c194 0000c190 0000c186 0000c34e
8006a130: 0000c25e 0000c1d6 0000c1ae 0000c172
8006a140: 0000c1a0 0000c156 0000c176 0000c186
8006a150: 0000c384 0000c29a 0000c2fa 0000c180
8006a160: 0000c162 0000c30e 0000c2e0 0000c2d6
8006a170: 0000c168 0000c186 0000c0ec 0000c1cc
8006a180: 0000c1b0 0000c1b0 0000c182 0000c334
8006a190: 0000c302 0000c1a0 0000c192 0000c0fc
8006a1a0: 0000c190 0000c182 0000c1fa 0000c196
8006a1b0: 0000c0de 0000c192 0000c1b4 0000c1a0
8006a1c0: 0000c1b0 0000c192 0000c320 0000c182
8006a1d0: 0000c2d6 0000c146 0000c0fc 0000c174
8006a1e0: 0000c1b0 0000c2e4 0000c1a2 0000c194
8006a1f0: 0000c30c 0000c182 0000c15a 0000c1be
8006a200: 0000c168 0000c1a0 0000c194 0000c186
8006a210: 0000c0be 0000c330 0000c358 0000c172
8006a220: 0000c1aa 0000c14a 0000c1d0 0000c32e
8006a230: 0000c136 0000c182 0000c164 0000c32a
8006a240: 0000c30c 0000c326 0000c190 0000c192
8006a250: 0000c182 0000c182 0000c1ce 0000c180
8006a260: 0000c100 0000c354 0000c1d2 0000c178
8006a270: 0000c284 0000c1b0 0000c164 0000c352
8006a280: 0000c186 0000c2fa 0000c174 0000c1be
8006a290: 0000c354 0000c2cc 0000c1c4 0000c1a4
8006a2a0: 0000c184 0000c322 0000c2b8 0000c180
8006a2b0: 0000c30e 0000c180 0000c1a2 0000c310
8006a2c0: 0000c1a4 0000c096 0000c312 0000c0c8
8006a2d0: 0000c2b8 0000c174 0000c174 0000c302
8006a2e0: 0000c2b6 0000c32a 0000c1b0 0000c1a0
